"","1","10","100","1000","10000"
"38",731.234666666667,1045.768,1318.50666666667,1525.68533333333,1616.53066666667
"39",732.866666666667,1057.16,1330.648,1529.672,1621.63466666667
"40",697.266666666667,1070.616,1335.048,1535.98666666667,1627.96
"41",777.88,1065.33866666667,1335.58666666667,1547.184,1635.216
"42",720.376,1066.86666666667,1345.69066666667,1552.02933333333,1642.20533333333
"43",707.245333333333,1066.57333333333,1347.58933333333,1559.32533333333,1650.88266666667
"44",751.304,1065.336,1350.22133333333,1567.576,1659.41866666667
"45",765.176,1058.58666666667,1351.688,1569.38933333333,1664.83466666667
"46",759.256,1045.16266666667,1354.41066666667,1576.64533333333,1669.53333333333
"47",779.181333333333,1071.38133333333,1353.13866666667,1584.29333333333,1679.712
"48",768.226666666666,1061.64266666667,1351.64,1583.43733333333,1685.528
"49",743.496,1063.584,1348.72266666667,1586.26933333333,1686.78133333333
"50",795.762666666667,1028.864,1332.496,1575.44266666667,1689.69066666667
"51",641.48,1046.312,1334.10666666667,1568.47466666667,1687.42133333333
"52",765.682666666667,1051.74133333333,1322.81866666667,1566.62133333333,1687.888
"53",684.733333333333,1048.04,1318.61066666667,1547.92533333333,1681.576
"54",716.546666666667,1028.35733333333,1310.40266666667,1545.21333333333,1677.17333333333
"55",671.938666666667,1029.05066666667,1299.568,1532.93866666667,1674.48533333333
"56",726.562666666667,1023.38666666667,1299.304,1538.25866666667,1669.93066666667
"57",710.024,1009.304,1292.29066666667,1544.256,1663.98933333333
"58",712.669333333333,1001.83466666667,1291.17333333333,1533.848,1667.296
"59",705.138666666667,1018.696,1288.94666666667,1535.632,1660.904
"60",722.173333333333,994.402666666667,1291.18666666667,1541.552,1669.08
"61",739.682666666667,1022.63733333333,1289.864,1540.50133333333,1662.17066666667
"62",706.248,1036.73333333333,1281.19466666667,1528.62666666667,1666.608
"63",712.648,1013.05333333333,1275.21066666667,1533.344,1666.616
